id	misogynous	text	misogyny_category	target	cleaned_text
41	1	Is it rape if you stick your finger in a bootyhole when they sleep?	sexual_harassment	passive	is it rape if you stick your finger in a bootyhole when they sleep ?
42	1	Why did women vote for Trump? bitches will vote for a bitch	discredit	passive	why did women vote for trump ? bitches will vote for a bitch
43	1	So i had a dream that baekyeol kissed right in front of my face that was very charming thing until some psycho women start to scream.bitch	discredit	passive	so i had a dream that baekyeol kissed right in front of my face that was very charming thing until some psycho women start to scream.bitch
44	1	my girl left early in the morning holler bout she going to get her hair done bitch i ain’t dumb	discredit	active	my girl left early in the morning holler bout she going to get her hair done bitch i aint dumb
45	1	All you fucking faggots were laughing at her too with that other fucking dumb cunt liberal Ellen DeGeneres	discredit	active	all you fucking faggots were laughing at her too with that other fucking dumb cunt liberal ellen degeneres
46	1	I'm sorry but you damn hoe and you don't even know it 🤦🏾‍♂️	discredit	active	I am sorry but you damn hoe and you do not even know it
47	1	Thats yo main bitch thats my side hoe damn near coldest bitch i love her nigga side joke🙃	discredit	active	thats yo main bitch thats my side hoe damn near coldest bitch i love her nigga side joke
48	1	<MENTION_1> got these hoes thinking sharing a nigga or being a side bitch is cool 🤦🏽‍♀️	discredit	active	<mention > got these hoes thinking sharing a nigga or being a side bitch is cool
49	1	<MENTION_1> She probably was using it already before she took it stupid bitch.	discredit	active	<mention > she probably was using it already before she took it stupid bitch .
50	1	<MENTION_1> you fucking slut, daddy wants you to dm him	discredit	active	<mention > you fucking slut , daddy wants you to dm him
51	1	ALSO... still laughing at this bitch that my friend Chef brought to DirtyBird... LIKE NO ONE WANTED YOU THERE HOE JUST SO YOU KNOW 😹🤷‍♀️	discredit	active	also . still laughing at this bitch that my friend chef brought to dirtybird . like no one wanted you there hoe just so you know
52	1	🗣 Tuesday and Wednesday, Thursday and Friday.....I can beat your ass bitch every weekend. 😊🤷🏽‍♀️	discredit	active	tuesday and wednesday , thursday and friday . i can beat your ass bitch every weekend .
53	1	Ill kill the bitch (chloe) when your not home — Idgaf if you’re kidding bitch I’ll report your ass ... <URL>	sexual_harassment	active	ill kill the bitch   chloe   when your not home idgaf if you are kidding bitch ill report your ass . <url>
54	1	Why #WomenBoycottTwitter? because you act like Ms. Whore.	discredit	active	why ? because you act like ms . whore .
55	1	<URL> rape and murdered children what do you expect from the religion of peace and women don't count as human, think	discredit	passive	<url> rape and murdered children what do you expect from the religion of peace and women do not count as human , think
56	1	First of all ya dick is too mediocre to be having your ugly ass bitch come at me in such manner	discredit	active	first of all ya dick is too mediocre to be having your ugly ass bitch come at me in such manner
57	1	wow that bitch is tweeting hard like her 'good heart' makes it look like she wasn't involved in the coverup- everybody knows she's a ho!	discredit	active	wow that bitch is tweeting hard like her   good heart   makes it look like she was not involved in the coverup   everybody knows she is a ho !
58	1	Too bad my stupid loyal bitch ass dropped all my hoes that smoked me out for an ain't shit boy	discredit	passive	too bad my stupid loyal bitch ass dropped all my hoes that smoked me out for an have not shit boy
59	1	<MENTION_1> stupid bitch i hate you	discredit	active	<mention > stupid bitch i hate you
60	1	oh my god okay but i saw this jennie x pretty girl video and bitch i'm—	discredit	active	oh my god okay but i saw this jennie x pretty girl video and bitch I am
61	1	Me: h- Lana Del Dey: I’m a dragon you’re a whore bitch	discredit	active	me : h   lana del dey : im a dragon you are a whore bitch
62	1	<MENTION_1> <MENTION_2> You are such a lucky slut girl !!!! I envy you 🤤	discredit	active	<mention > <mention > you are such a lucky slut girl ! i envy you
63	1	Before you sign up to be a side bitch keep in mind that there’s a 99.9% chance of you getting your ass beat. K? K.	discredit	active	before you sign up to be a side bitch keep in mind that theres a % chance of you getting your ass beat . k ? k .
64	1	Never let a girl with unblended shadow, unlined lips, and a non-setting foundation w powder ass bitch tell u shit..have a good day y'all	discredit	passive	never let a girl with unblended shadow , unlined lips , and a non setting foundation w powder ass bitch tell u shit .. have a good day y all
65	1	You only come around when you want dick.. bitch respect my energy.	discredit	active	you only come around when you want dick .. bitch respect my energy .
66	1	<MENTION_1> YOU ARE NO CHAMPION FOR WOMEN! YOU'RE A GREEDY, OPPORTUNISTIC ATTENTION WHORE! You should never work in law again! #weinsteinGate <URL>	discredit	active	<mention > you are no champion for women ! you are a greedy , opportunistic attention whore ! you should never work in law again ! <url>
67	1	<MENTION_1> No bitch this girl annoying	discredit	active	<mention > no bitch this girl annoying
68	1	Let's have some fun. Let me rape your wallet. You'll watch, stroke &amp; thank me for abusing you like a whore! #Findom #walletdrain #paypig	sexual_harassment	active	let us have some fun . let me rape your wallet . you will watch , stroke amp   thank me for abusing you like a whore !
69	1	<MENTION_1> White woman are so quick to claim rape, so how about you black sisters? We rarely heard you!	discredit	passive	<mention > white woman are so quick to claim rape , so how about you black sisters ? we rarely heard you !
70	1	Lmao a little bitch got mad at me at work yesterday and asked to speak to a manager.. 🗣 hoe, I am the store manager so what now? 🤗	discredit	active	lmao a little bitch got mad at me at work yesterday and asked to speak to a manager .. hoe , i am the store manager so what now ?
71	1	Yo moma ah stupid bitch!!! For having a fake ass son acting gangster on twitter. <URL>	discredit	active	yo moma ah stupid bitch ! for having a fake ass son acting gangster on twitter . <url>
72	1	<MENTION_1> <MENTION_2> Excuse me? EVERYONE LIKES IT!!! BITCH IF YOU DON'T FUCK OFF THIS WORLD! What a hoe! 😒	discredit	active	<mention > <mention > excuse me ? everyone likes it ! bitch if you do not fuck off this world ! what a hoe !
73	1	<MENTION_1> No, you suck and the game said you were a slut.	discredit	active	<mention > no , you suck and the game said you were a slut .
74	1	'A girl can only be a slut, a bitch, a tease, or the virgin next door.' #QOTD #Horror <URL> <URL>	discredit	passive	a girl can only be a slut , a bitch , a tease , or the virgin next door .   <url> <url>
75	1	<MENTION_1> Backstabbing cher hypocritical, NASTY WOMAN and a bitch, bashing my President, who screwed her way to the top.. . . . . <URL>	discredit	active	<mention > backstabbing cher hypocritical , nasty woman and a bitch , bashing my president , who screwed her way to the top .. . . . . <url>
76	1	...............................'I get to rape beautiful women and that's why I like working on this project.'	sexual_harassment	passive	.   i get to rape beautiful women and that is why i like working on this project .
77	1	Fuck you bitch. I'd fight you if I wasn't pregnant but your too big of a pussy to hit anyone cause all you do is run your mouth	discredit	active	fuck you bitch . i would fight you if i was not pregnant but your too big of a pussy to hit anyone cause all you do is run your mouth
78	1	<MENTION_1> l don't even know 's that fucking women bitch <PERSON_1>..	discredit	active	<mention > l do not even know   s that fucking women bitch <person > ..
80	1	what the fuck 😔😔😔😳😳😳 Travis your a dumb ass bitch Kylie i still love yah girl btw 💕💕😩	discredit	active	what the fuck travis your a dumb ass bitch kylie i still love yah girl btw
81	1	<MENTION_1> girl lmaooooo bitch I needed a heads up or something 😂😂😂	discredit	active	<mention > girl lmao bitch i needed a heads up or something
82	1	This bitch is stupid af. Forcing me to wake up my residents. Like wtf not like I was sitting not doing shit I was doing shit. Stupid ass.	discredit	active	this bitch is stupid af . forcing me to wake up my residents . like what the fuck not like i was sitting not doing shit i was doing shit . stupid ass .
83	1	<MENTION_1> I miss you more main slut halavyaahhh HHAHAHHAAHAHpatatas!!! 😂😂	discredit	active	<mention > i miss you more main slut halavyaah hhahahhaahahpatatas !
84	1	Hey girl if ur still reading my tweets ..... ur a dumb bitch	discredit	active	hey girl if ur still reading my tweets . ur a dumb bitch
85	1	You just have power over men altogether, women are men’s ultimate weakness after all... which is why women are slut… <URL>	discredit	passive	you just have power over men altogether , women are mens ultimate weakness after all . which is why women are slut <url>
86	1	this fake bitch trynna indirect me Hello @ me if ur not a coward hoe	discredit	active	this fake bitch trynna indirect me hello me if ur not a coward hoe
87	1	<MENTION_1> back too you slut	discredit	active	<mention > back too you slut
88	1	<MENTION_1> I tried to find a gif of Brett Butler calling you a Godless Whore but...well let's just say I didn… <URL>	discredit	active	<mention > i tried to find a gif of brett butler calling you a godless whore but.well let us just say i didn <url>
89	1	<MENTION_1> Ahhh bitch just the other day you said ' I been having a crush on him since forever' dumb ass hoe give it up he don't want you	discredit	active	<mention > ah bitch just the other day you said   i been having a crush on him since forever   dumb ass hoe give it up he do not want you
90	1	<MENTION_1> <MENTION_2> some women love to be whores so don’t have if a pig wanna remove a pig from where he doesn’t belong! We need class	discredit	passive	<mention > <mention > some women love to be whores so dont have if a pig wanna remove a pig from where he doesnt belong ! we need class
91	1	“Fucking slut. I knew you were cheating on me.” <URL>	discredit	active	fucking slut . i knew you were cheating on me . <url>
92	1	Shut up bitch and suck my cock <URL>	sexual_harassment	active	shut up bitch and suck my cock <url>
93	1	<MENTION_1> Telemarketer did same to me called me a whore and said he would rape me. Nice.	sexual_harassment	active	<mention > telemarketer did same to me called me a whore and said he would rape me . nice .
94	1	And you all call me a slut. Ha not when close compared to that slut!	discredit	active	and you all call me a slut . ha not when close compared to that slut !
95	1	Titties are 😎 but where's your ass bitch	discredit	active	titties are but where is your ass bitch
96	1	<MENTION_1> a bitch about to get pussy punched if she dont buy a new god damn book	discredit	active	<mention > a bitch about to get pussy punched if she dont buy a new god damn book
97	1	Boy you look like you rape girls at frat parties, malicious ass racist cunt <URL>	sexual_harassment	passive	boy you look like you rape girls at frat parties , malicious ass racist cunt <url>
98	1	<MENTION_1> <MENTION_2> demi = fat and flop ariana = queen now leave stupid bitch	discredit	active	<mention > <mention > demi = fat and flop ariana = queen now leave stupid bitch
99	1	<MENTION_1> <MENTION_2> I love playing with your ass will you rid my cock and I eat you out <URL>	sexual_harassment	active	<mention > <mention > i love playing with your ass will you rid my cock and i eat you out <url>
100	1	Ovide Mercredi to Paul Schabas, 'Char's a squaw. I attack Indigenous women all the time. No one will notice if you rape her! Rape her!'	sexual_harassment	passive	ovide mercredi to paul schabas ,   char s a squaw . i attack indigenous women all the time . no one will notice if you rape her ! rape her !
101	1	<MENTION_1> <MENTION_2> Really? Some cunt that has Oasis lyrics in her bio is gonna tell me something? Stfu bitch, this cunt is crazy.	discredit	active	<mention > <mention > really ? some cunt that has oasis lyrics in her bio is gonna tell me something ? stfu bitch , this cunt is crazy .
102	1	why this big fat ass ugly ass bitch like me 😭 she need to UNLIKE me!!!!! i love dick! tf	discredit	active	why this big fat ass ugly ass bitch like me she need to unlike me ! i love dick ! tf
103	1	This ignorant bitch, <MENTION_1> should know. How many women did she destroy to protect that predator husband? <URL>	discredit	active	this ignorant bitch , <mention > should know . how many women did she destroy to protect that predator husband ? <url>
104	1	<MENTION_1> They are nice. You mean, mean whore	discredit	active	<mention > they are nice . you mean , mean whore
105	1	<MENTION_1> <MENTION_2> Girl or not if I saw that I'd knock the cunt out! How dare you hurt a child like that. Fucking sick twisted bitch	discredit	active	<mention > <mention > girl or not if i saw that i would knock the cunt out ! how dare you hurt a child like that . fucking sick twisted bitch
106	1	<MENTION_1> Uhhhhhh, that’s stupid LITTLE bitch, ma’am 😉	discredit	active	<mention > uh , thats stupid little bitch , maam
107	1	<MENTION_1> You a whore	discredit	active	<mention > you a whore
108	1	I had this girl bite my dick a lil too hard last night	sexual_harassment	active	i had this girl bite my dick a lil too hard last night
109	1	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> Hell, this stupid bitch <MENTION_6> said I wasn't even black, but a white person in blackface just because I said the NA isn't racist.	discredit	active	<mention > <mention > <mention > <mention > <mention > hell , this stupid bitch <mention > said i was not even black , but a white person in blackface just because i said the na is not racist .
110	1	No apple, I don't want an amber alert for a stupid 16 yr old bitch that got into a 21 yr old pedos car .	discredit	active	no apple , i do not want an amber alert for a stupid yr old bitch that got into a yr old pedos car .
111	1	<MENTION_1> <MENTION_2> I’m the big dick motherfuckin bitch hoe <URL>	discredit	active	<mention > <mention > im the big dick motherfuckin bitch hoe <url>
112	1	Eric Cartman: How 'bout we sing, 'Kyle's Mom is a stupid bitch' in D Minor.	discredit	active	eric cartman : how   bout we sing ,   kyle s mom is a stupid bitch   in d minor .
113	1	lil is beautiful, gays are cute, i'm very strong, and you're stupid bitch	discredit	active	lil is beautiful , gays are cute , I am very strong , and you are stupid bitch
114	1	Frost is a stupid bitch. <MENTION_1>	discredit	active	frost is a stupid bitch . <mention >
115	1	Thots be like 'OMG she's such a slut' #FirstofAll didn't you fuck the whole football team???	discredit	active	thots be like   omg she is such a slut   did not you fuck the whole football team ?
116	1	<MENTION_1> <MENTION_2> bitch if u dont hop off my dick and go do somethin with yo loud mouth ass , mothball… <URL>	sexual_harassment	active	<mention > <mention > bitch if u dont hop off my dick and go do somethin with yo loud mouth ass , mothball <url>
117	1	boo seungkwan a visual hole ???? bitch i think the fuk not #SVT_PROJECT_VOCAL #PINWHEEL <URL>	discredit	active	boo seungkwan a visual hole ? bitch i think the fuk not <url>
118	1	Bitch you stupid but you aint stupid stupid 😂😂😂 <URL>	discredit	active	bitch you stupid but you aint stupid stupid <url>
119	1	Then da cop decides to get in da car and try to make da girl suck his dick in da backseat for what reason Idk smh had to beat this nigga ass	sexual_harassment	active	then da cop decides to get in da car and try to make da girl suck his dick in da backseat for what reason idk smh had to beat this nigga ass
120	1	I hate this British woman of letters bitch	discredit	active	i hate this british woman of letters bitch
121	1	Cunt and demon bitch Betsy Devos is an evil evil antichrist lying warlock for oil and money <URL>	discredit	active	cunt and demon bitch betsy devos is an evil evil antichrist lying warlock for oil and money <url>
122	1	I don’t really appreciate some of you that participated in “Fine Women Friday” ; This is my personal opinion though & your Granny a hoe...	discredit	passive	i dont really appreciate some of you that participated in fine women friday   this is my personal opinion though your granny a hoe .
123	1	Happy 21st Birthday to my Slut🤘🏾🎂 you already know what we on😈 <MENTION_1>	discredit	active	happy st birthday to my slut you already know what we on <mention >
124	1	Imagine getting your ass dragged by Kali Uchis bc you were being a rude ass bitch	discredit	active	imagine getting your ass dragged by kali uchis bc you were being a rude ass bitch
125	1	Where's this bitch Gloria Steinem in all this abuse against women <URL>	discredit	active	where is this bitch gloria steinem in all this abuse against women <url>
126	1	your girlfriend a major snorter but that bitch ain't worth a quarter 😬	discredit	active	your girlfriend a major snorter but that bitch have not worth a quarter
127	1	Your girl is a hoe, she fucked all my bros	discredit	active	your girl is a hoe , she fucked all my bros
128	1	<MENTION_1> <MENTION_2> Omg he gave her his number and she didn't say no what a cunt The girl is the cunt for giving it to some random fucktard	discredit	active	<mention > <mention > omg he gave her his number and she did not say no what a cunt the girl is the cunt for giving it to some random fucktard
129	1	Lmao, <MENTION_1> went off on the whore groupie hoe in Scott’s bathroom. Yes bitch!	discredit	active	lmao , <mention > went off on the whore groupie hoe in scotts bathroom . yes bitch !
130	1	You’re in the middle of being a woman or being a bitch?	discredit	active	you are in the middle of being a woman or being a bitch ?
131	1	This bitch for real said you're not a woman without boobs.	sexual_harassment	active	this bitch for real said you are not a woman without boobs .
132	1	Went to <MENTION_1> stupid bitch put one in upside down one side ways. #wtf £6 we'll spent #cunt <URL>	discredit	active	went to <mention > stupid bitch put one in upside down one side ways . we will spent <url>
133	1	I hate coming to the city people real life know my car like pussy study yo bitch car 😩😂	discredit	active	i hate coming to the city people real life know my car like pussy study yo bitch car
134	1	i use to get sky at my dads house but his whore girlfriend never use to let me watch it	discredit	active	i use to get sky at my dads house but his whore girlfriend never use to let me watch it
135	1	even my dreams cock block me like i killed and save this bitch 100 times just to die and start again bitch this aint mario smd	discredit	active	even my dreams cock block me like i killed and save this bitch times just to die and start again bitch this aint mario smd
136	1	<MENTION_1> Dirty smelly cunt slut whores. Hope your old man rots in a cell.	discredit	active	<mention > dirty smelly cunt slut whores . hope your old man rots in a cell .
137	1	Getting her pussy and ass ate at the same time , now that's goals bitch	sexual_harassment	passive	getting her pussy and ass ate at the same time , now that is goals bitch
138	1	lol, chop her head off and rape the bitch <URL>	sexual_harassment	active	lol , chop her head off and rape the bitch <url>
139	1	disgusting little fuck bitch the only good thing about ur boring ass moview are the women in it. you owe everything to women so shut UP!!! <URL>	discredit	active	disgusting little fuck bitch the only good thing about ur boring ass moview are the women in it . you owe everything to women so shut up ! <url>
140	1	This pussy mine girl tell me you like Daddy dick.... 🙄 FIRST OF ALL WRONG HOLE FOO	discredit	active	this pussy mine girl tell me you like daddy dick . first of all wrong hole foo
141	1	Her hairy old cunt gets drilled by stiff dick <URL>	sexual_harassment	active	her hairy old cunt gets drilled by stiff dick <url>
142	1	<MENTION_1> I moan as I watch your perfect blue pussy descend upon my big dick.	sexual_harassment	active	<mention > i moan as i watch your perfect blue pussy descend upon my big dick .
143	1	<MENTION_1> <MENTION_2> <MENTION_3> Suck my dick you stupid bitch.	sexual_harassment	active	<mention > <mention > <mention > suck my dick you stupid bitch .
144	1	<MENTION_1> Women are ridiculous lmao like bitch I’m 5’2. I’m sorry your crush went for a shorty 😂	discredit	passive	<mention > women are ridiculous lmao like bitch im . im sorry your crush went for a shorty
145	1	<MENTION_1> I love your ass bitch <URL>	sexual_harassment	active	<mention > i love your ass bitch <url>
146	1	<MENTION_1> go rape your whore of a mother	sexual_harassment	active	<mention > go rape your whore of a mother
147	1	<MENTION_1> <MENTION_2> What a stupid bitch , talks utter shite this woman . pure fucking evil too .	discredit	active	<mention > <mention > what a stupid bitch , talks utter shite this woman . pure fucking evil too .
148	1	Girls hear you say “fuckkk” during sex and think her pussy fire First of all hoe I’m really just feeling bad for cheating on my girl😂😂😂😂	sexual_harassment	passive	girls hear you say fuck during sex and think her pussy fire first of all hoe im really just feeling bad for cheating on my girl
149	1	<MENTION_1> Bitch fuck you too then 😭‼️that’s why I hope all your teeth fall out whore	sexual_harassment	active	<mention > bitch fuck you too then thats why i hope all your teeth fall out whore
150	1	<MENTION_1> then why tho?? u damn stupid hoe 😂	discredit	active	<mention > then why tho ? ? u damn stupid hoe
151	1	Why is it whenever I talk to girls, they just cut off communication with me for no reason? And no explanation? O yea I know, cuz #WomenSuck	discredit	passive	why is it whenever i talk to girls , they just cut off communication with me for no reason ? and no explanation ? o yea i know , cuz
152	1	Why do women have periods? Because they deserve them	discredit	passive	why do women have periods ? because they deserve them
153	1	What takes up 12 parking spaces? 6 women drivers	stereotype	passive	what takes up parking spaces ? women drivers
154	1	Who makes the sandwiches at a feminist rally?	stereotype	passive	who makes the sandwiches at a feminist rally ?
155	1	Why did God invent the yeast infection? So women know what it's like living with an irritating cunt	discredit	passive	why did god invent the yeast infection ? so women know what it is like living with an irritating cunt
156	1	God doesn't hate gays he's just mad they found a loop hole in dealing with women	stereotype	passive	god does not hate gays he is just mad they found a loop hole in dealing with women
157	1	Why is a female like a laxative? They both irritate the shit out of you.	discredit	passive	why is a female like a laxative ? they both irritate the shit out of you .
158	1	Why aren't women marching on the streets demanding the #draft for all women? Men know the answer. Women are lazy. <URL>	discredit	passive	why are not women marching on the streets demanding the for all women ? men know the answer . women are lazy . <url>
159	1	When you're flexin on these bitches <URL>	discredit	passive	when you are flexin on these bitches <url>
160	1	I need some new Atl hoes for the summer... Where the Atl bitches at	discredit	passive	i need some new atl hoes for the summer . where the atl bitches at
161	1	Too many women confuse their hearts with their vaginas	discredit	passive	too many women confuse their hearts with their vaginas
162	1	Strippers tryin to get me to the champagne rm is my favorite thing.. ✋🏼 bitch please, you'll be paying for this dick by the end of the night	sexual_harassment	active	strippers tryin to get me to the champagne rm is my favorite thing .. bitch please , you will be paying for this dick by the end of the night
163	1	People in airport bars always wanna tell you their life stories... STFU Bill, IDGAF about your stupid daughter and whore wife	discredit	active	people in airport bars always wanna tell you their life stories . stfu bill , idgaf about your stupid daughter and whore wife
164	1	If she lets you put your penis in her vagina with no strings attached, have the common decency to treat her like a queen on her bday	sexual_harassment	active	if she lets you put your penis in her vagina with no strings attached , have the common decency to treat her like a queen on her bday
165	1	He cheated on you? That's nice. Now go sit in the corner, drink your lemonade and cry, bitch	discredit	active	he cheated on you ? that is nice . now go sit in the corner , drink your lemonade and cry , bitch
166	1	If I put my fingers inside of you and you won't taste yourself, you can bet your ass I'm not tasting you either	sexual_harassment	active	if i put my fingers inside of you and you will not taste yourself , you can bet your ass I am not tasting you either
167	1	I hate it when waitresses call me 'sir'... Like yeah bitch that's what I wanted with my lunch... A hard fuckin dick	discredit	passive	i hate it when waitresses call me   sir   . like yeah bitch that is what i wanted with my lunch . a hard fuckin dick
168	1	Bitches are always sayin 'it's the little things' until you have a -a little bank account -a little drinking problem -or a little dick	discredit	passive	bitches are always sayin   it is the little things   until you have a   a little bank account   a little drinking problem   or a little dick
169	1	I treat women like fuck toys cause that's all they are to me	discredit	passive	i treat women like fuck toys cause that is all they are to me
170	1	Pro Tip- Put all your bitches on a period tracker app so you know when to avoid they ass	discredit	passive	pro tip   put all your bitches on a period tracker app so you know when to avoid they ass
171	1	<MENTION_1> you're too sweet ya sexy bitch 😘	discredit	active	<mention > you are too sweet ya sexy bitch
172	1	You don't have to worry about angles anymore... These bitches out here face swapping with their friends tryna trick to ass	discredit	passive	you do not have to worry about angles anymore . these bitches out here face swapping with their friends tryna trick to ass
173	1	Bitches be postin pics of them in the bath after droppin a bath bomb in it lookin like they shit a smurf out	discredit	passive	bitches be postin pics of them in the bath after droppin a bath bomb in it lookin like they shit a smurf out
174	1	Head so sloppy had to get that bitch a bib <URL>	discredit	active	head so sloppy had to get that bitch a bib <url>
175	1	No one gives less fucks than the guy that comments 'check your DM, ma' on bitches posts	discredit	passive	no one gives less fucks than the guy that comments   check your dm , ma   on bitches posts
176	1	Donald- you stupid bitch Hillary- you fuckin buffoon Donald- think they believe we hate each other? Ah fuck it lets go get a drink <URL>	discredit	active	donald   you stupid bitch hillary   you fuckin buffoon donald   think they believe we hate each other ? ah fuck it lets go get a drink <url>
177	1	I don't catch feelings, I don't catch flights, but I do catch dudes slippin and fuck their girls	sexual_harassment	passive	i do not catch feelings , i do not catch flights , but i do catch dudes slippin and fuck their girls
178	1	Ugly bitches always got their shit on private with a profile pic that has 97462583047251538 filters on it	discredit	passive	ugly bitches always got their shit on private with a profile pic that has filters on it
